hospital,date,ed_trolleys,ward_trolleys,total_trolleys,surge_open,delayed_transfers,over_24hrs_on_trolleys,over_75yrs_over_24hrs
St. Columcille's Hospital,2024-02-06,4,17,7,24,4,0,0
St Luke's General Hospital Kilkenny,2024-02-06,17,7,24,62,24,5,0
St. Michael's Hospital,2024-02-06,7,32,8,40,7,0,0
St. Vincent's University Hospital,2024-02-06,32,8,40,40,40,5,11
Tipperary University Hospital,2024-02-06,11,0,11,20,11,1,0
UH Waterford,2024-02-06,0,0,0,28,22,0,14
Wexford General Hospital,2024-02-06,14,8,22,24,22,0,0
Bantry General Hospital,2024-02-06,6,22,8,30,6,0,0
Cork University Hospital,2024-02-06,22,8,30,27,30,1,0
Mallow General Hospital,2024-02-06,5,0,11,0,0,0,0
Mercy University Hospital,2024-02-06,5,0,11,12,12,0,0
South Infirmary Victoria University Hospital,2024-02-06,13,0,13,14,13,0,0
UH Kerry,2024-02-06,13,0,13,14,13,1,0
Ennis Hospital,2024-02-06,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-06,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-06,6,46,42,88,6,0,0
UH Limerick,2024-02-06,46,42,88,56,88,13,0
Galway University Hospital,2024-02-06,15,10,25,29,25,0,0
Letterkenny University Hospital,2024-02-06,10,8,18,10,18,2,0
Mayo University Hospital,2024-02-06,5,14,19,17,19,8,0
Portiuncula University Hospital,2024-02-06,10,0,10,9,10,0,0
Roscommon University Hospital,2024-02-06,2,16,18,17,18,0,0
Sligo University Hospital,2024-02-06,2,16,18,17,18,14,0
Beaumont Hospital,2024-02-07,22,0,22,15,22,0,7
Cavan General Hospital,2024-02-07,7,0,7,4,0,0,4
Connolly Hospital,2024-02-07,4,0,4,27,0,0,0
Louth County Hospital,2024-02-07,36,0,36,14,36,0,0
Mater Misericordiae University Hospital,2024-02-07,36,0,36,14,36,3,0
National Orthopaedic Hospital Cappagh,2024-02-07,16,0,27,0,0,0,0
Our Lady of Lourdes Hospital,2024-02-07,16,0,27,0,7,7,0
Our Lady's Hospital Navan,2024-02-07,7,0,7,13,7,0,0
CHI at Crumlin,2024-02-07,10,0,10,0,10,0,0
CHI at Tallaght,2024-02-07,5,0,5,0,5,0,10
CHI at Temple Street,2024-02-07,10,0,10,0,10,0,0
MRH Mullingar,2024-02-07,0,0,0,19,0,0,2
MRH Portlaoise,2024-02-07,2,0,2,17,0,0,0
MRH Tullamore,2024-02-07,0,0,0,39,12,0,10
Naas General Hospital,2024-02-07,10,2,12,7,12,0,33
St. James's Hospital,2024-02-07,33,0,33,37,33,0,0
St. Luke's Radiation Oncology Network,2024-02-07,2,23,6,29,2,0,0
Tallaght University Hospital,2024-02-07,23,6,29,24,29,1,0
National Rehabilitation Hospital,2024-02-07,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-07,10,13,8,21,10,0,0
St Luke's General Hospital Kilkenny,2024-02-07,13,8,21,60,21,5,0
St. Michael's Hospital,2024-02-07,6,34,3,37,6,0,0
St. Vincent's University Hospital,2024-02-07,34,3,37,40,37,8,5
Tipperary University Hospital,2024-02-07,11,0,11,20,11,4,0
UH Waterford,2024-02-07,0,0,0,18,20,0,12
Wexford General Hospital,2024-02-07,12,8,20,24,20,0,0
Bantry General Hospital,2024-02-07,6,34,10,44,6,0,0
Cork University Hospital,2024-02-07,34,10,44,24,44,7,2
Mallow General Hospital,2024-02-07,9,0,9,11,9,0,0
Mercy University Hospital,2024-02-07,9,0,9,11,9,1,0
South Infirmary Victoria University Hospital,2024-02-07,11,0,14,0,0,0,0
UH Kerry,2024-02-07,11,0,14,20,20,0,0
Ennis Hospital,2024-02-07,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-07,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-07,6,47,56,103,6,0,0
UH Limerick,2024-02-07,47,56,103,61,103,12,0
Galway University Hospital,2024-02-07,20,12,32,20,32,6,0
Letterkenny University Hospital,2024-02-07,10,8,18,10,18,7,0
Mayo University Hospital,2024-02-07,3,10,13,13,13,5,0
Portiuncula University Hospital,2024-02-07,10,0,10,11,10,0,0
Roscommon University Hospital,2024-02-07,12,16,28,12,28,0,0
Sligo University Hospital,2024-02-07,12,16,28,12,28,5,0
Beaumont Hospital,2024-02-08,18,0,18,17,18,0,6
Cavan General Hospital,2024-02-08,6,2,4,0,13,13,0
Connolly Hospital,2024-02-08,13,0,13,27,13,0,0
Louth County Hospital,2024-02-08,20,0,20,15,20,0,0
Mater Misericordiae University Hospital,2024-02-08,20,0,20,15,20,0,0
National Orthopaedic Hospital Cappagh,2024-02-08,9,0,9,28,0,0,0
Our Lady of Lourdes Hospital,2024-02-08,9,0,9,28,11,0,11
Our Lady's Hospital Navan,2024-02-08,11,0,11,13,11,0,0
CHI at Crumlin,2024-02-08,2,0,0,2,2,0,5
CHI at Tallaght,2024-02-08,5,0,5,0,5,0,4
CHI at Temple Street,2024-02-08,4,0,0,0,0,2,0
MRH Mullingar,2024-02-08,2,0,2,7,0,0,0
MRH Portlaoise,2024-02-08,0,0,0,7,0,0,0
MRH Tullamore,2024-02-08,0,0,0,30,16,0,12
Naas General Hospital,2024-02-08,12,4,16,7,16,1,30
St. James's Hospital,2024-02-08,30,0,30,40,30,0,0
St. Luke's Radiation Oncology Network,2024-02-08,2,21,9,30,2,0,0
Tallaght University Hospital,2024-02-08,21,9,30,26,30,1,0
National Rehabilitation Hospital,2024-02-08,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-08,9,9,6,15,9,0,0
St Luke's General Hospital Kilkenny,2024-02-08,9,6,15,55,15,0,0
St. Michael's Hospital,2024-02-08,5,30,7,37,5,0,0
St. Vincent's University Hospital,2024-02-08,30,7,37,48,37,2,5
Tipperary University Hospital,2024-02-08,5,0,8,15,15,0,0
UH Waterford,2024-02-08,0,0,0,25,0,0,2
Wexford General Hospital,2024-02-08,2,7,18,9,9,0,0
Bantry General Hospital,2024-02-08,8,29,15,44,8,0,0
Cork University Hospital,2024-02-08,29,15,44,26,44,8,3
Mallow General Hospital,2024-02-08,11,0,11,9,11,0,0
Mercy University Hospital,2024-02-08,11,0,11,9,11,0,0
South Infirmary Victoria University Hospital,2024-02-08,10,0,14,0,0,0,0
UH Kerry,2024-02-08,10,0,14,19,19,0,0
Ennis Hospital,2024-02-08,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-08,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-08,5,25,48,73,5,0,0
UH Limerick,2024-02-08,25,48,73,50,73,10,0
Galway University Hospital,2024-02-08,23,11,34,20,34,5,0
Letterkenny University Hospital,2024-02-08,1,6,7,6,16,3,0
Mayo University Hospital,2024-02-08,2,14,16,10,16,4,0
Portiuncula University Hospital,2024-02-08,18,0,18,13,18,0,0
Roscommon University Hospital,2024-02-08,6,14,20,12,20,0,0
Sligo University Hospital,2024-02-08,6,14,20,12,20,4,0
Beaumont Hospital,2024-02-09,19,0,19,14,19,0,16
Cavan General Hospital,2024-02-09,16,0,16,3,16,0,1
Connolly Hospital,2024-02-09,1,0,1,14,0,0,0
Louth County Hospital,2024-02-09,15,0,15,0,0,0,0
Mater Misericordiae University Hospital,2024-02-09,15,0,15,0,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-09,4,0,4,21,0,0,0
Our Lady of Lourdes Hospital,2024-02-09,4,0,4,21,0,0,1
Our Lady's Hospital Navan,2024-02-09,1,0,1,10,0,0,0
CHI at Crumlin,2024-02-09,2,0,0,2,2,0,2
CHI at Tallaght,2024-02-09,2,0,0,0,8,8,0
CHI at Temple Street,2024-02-09,8,0,8,0,8,0,4
MRH Mullingar,2024-02-09,4,0,4,7,0,0,1
MRH Portlaoise,2024-02-09,1,0,1,9,0,0,0
MRH Tullamore,2024-02-09,0,0,0,30,11,0,9
Naas General Hospital,2024-02-09,9,2,11,6,11,0,10
St. James's Hospital,2024-02-09,10,0,10,33,0,0,0
St. Luke's Radiation Oncology Network,2024-02-09,2,18,8,26,2,0,0
Tallaght University Hospital,2024-02-09,18,8,26,25,26,0,0
National Rehabilitation Hospital,2024-02-09,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-09,6,10,6,16,6,0,0
St Luke's General Hospital Kilkenny,2024-02-09,10,6,16,16,16,0,0
St. Michael's Hospital,2024-02-09,5,32,0,32,5,0,0
St. Vincent's University Hospital,2024-02-09,32,0,32,58,32,1,0
Tipperary University Hospital,2024-02-09,0,0,0,8,16,0,0
UH Waterford,2024-02-09,0,0,0,21,0,0,1
Wexford General Hospital,2024-02-09,1,6,7,18,9,2,0
Bantry General Hospital,2024-02-09,9,13,10,23,9,0,0
Cork University Hospital,2024-02-09,13,10,23,26,23,0,0
Mallow General Hospital,2024-02-09,5,0,6,0,0,0,0
Mercy University Hospital,2024-02-09,5,0,6,11,11,0,0
South Infirmary Victoria University Hospital,2024-02-09,8,0,14,0,0,0,0
UH Kerry,2024-02-09,8,0,14,19,19,0,0
Ennis Hospital,2024-02-09,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-09,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-09,5,27,46,73,5,0,0
UH Limerick,2024-02-09,27,46,73,42,73,4,0
Galway University Hospital,2024-02-09,22,12,34,21,34,6,5
Letterkenny University Hospital,2024-02-09,6,7,13,0,13,2,0
Mayo University Hospital,2024-02-09,0,9,0,3,3,7,0
Portiuncula University Hospital,2024-02-09,7,0,7,13,7,0,0
Roscommon University Hospital,2024-02-09,12,15,27,12,27,0,0
Sligo University Hospital,2024-02-09,12,15,27,12,27,9,0
Beaumont Hospital,2024-02-10,0,0,0,0,0,0,3
Cavan General Hospital,2024-02-10,3,0,3,11,0,0,0
Connolly Hospital,2024-02-10,0,0,0,14,0,0,0
Louth County Hospital,2024-02-10,6,0,6,12,0,0,0
Mater Misericordiae University Hospital,2024-02-10,6,0,6,12,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-10,0,0,0,14,0,0,0
Our Lady of Lourdes Hospital,2024-02-10,0,0,0,14,0,0,0
Our Lady's Hospital Navan,2024-02-10,0,0,0,0,0,0,0
CHI at Crumlin,2024-02-10,1,0,1,0,2,0,0
CHI at Tallaght,2024-02-10,2,0,0,0,0,6,0
CHI at Temple Street,2024-02-10,6,0,0,0,0,1,0
MRH Mullingar,2024-02-10,1,0,1,4,0,0,0
MRH Portlaoise,2024-02-10,0,0,0,10,0,0,0
MRH Tullamore,2024-02-10,0,0,0,9,14,0,12
Naas General Hospital,2024-02-10,12,2,14,2,14,0,18
St. James's Hospital,2024-02-10,18,0,18,15,18,0,0
St. Luke's Radiation Oncology Network,2024-02-10,2,16,0,16,2,0,0
Tallaght University Hospital,2024-02-10,16,0,16,0,1,0,0
National Rehabilitation Hospital,2024-02-10,0,0,0,0,0,0,0
St. Columcille's Hospital,2024-02-10,6,0,0,0,6,0,0
St Luke's General Hospital Kilkenny,2024-02-10,0,0,0,27,0,0,0
St. Michael's Hospital,2024-02-10,5,14,0,58,5,0,0
St. Vincent's University Hospital,2024-02-10,14,0,58,1,1,0,0
Tipperary University Hospital,2024-02-10,0,0,0,0,13,0,0
UH Waterford,2024-02-10,0,0,0,11,23,0,0
Wexford General Hospital,2024-02-10,3,4,7,15,2,0,0
Bantry General Hospital,2024-02-10,9,4,6,10,9,0,0
Cork University Hospital,2024-02-10,4,6,10,5,29,0,0
Mallow General Hospital,2024-02-10,4,0,0,0,0,0,0
Mercy University Hospital,2024-02-10,4,0,0,13,13,0,0
South Infirmary Victoria University Hospital,2024-02-10,13,0,13,14,13,0,0
UH Kerry,2024-02-10,13,0,13,14,13,1,0
Ennis Hospital,2024-02-10,0,0,0,0,0,0,0
Nenagh Hospital,2024-02-10,0,0,0,0,0,0,0
St. John's Hospital Limerick,2024-02-10,7,38,45,23,45,0,0
UH Limerick,2024-02-10,7,38,45,23,45,2,0
Galway University Hospital,2024-02-10,0,1,1,41,31,0,0
Letterkenny University Hospital,2024-02-10,0,3,3,0,14,3,0
Mayo University Hospital,2024-02-10,2,4,6,0,9,0,0
Portiuncula University Hospital,2024-02-10,0,0,0,1,0,0,0
Roscommon University Hospital,2024-02-10,9,10,19,12,19,0,0
Sligo University Hospital,2024-02-10,9,10,19,12,19,6,0
Beaumont Hospital,2024-02-11,11,0,22,0,0,7,0
Cavan General Hospital,2024-02-11,7,0,7,12,0,0,0
Connolly Hospital,2024-02-11,0,0,0,12,0,0,0
Louth County Hospital,2024-02-11,6,0,6,12,0,0,0
Mater Misericordiae University Hospital,2024-02-11,6,0,6,12,0,0,0
National Orthopaedic Hospital Cappagh,2024-02-11,8,0,8,22,0,0,0
Our Lady of Lourdes Hospital,2024-02-11,8,0,8,22,0,0,0
Our Lady's Hospital Navan,2024-02-11,0,0,0,0,0,0,0
CHI at Crumlin,2024-02-11,0,0,0,0,2,0,0
CHI at Tallaght,2024-02-11,4,0,0,0,0,4,0
CHI at Temple Street,2024-02-11,4,0,0,0,0,1,0
MRH Mullingar,2024-02-11,1,0,1,3,0,0,5
